Loci,Epistasis,Polymorphism,Shannon Diversity,Nucleotide Diversity,Slope,Invasion Genotypes: Pareto,Invasion Genotypes: Interp
9,1,False,9.010238661674184e-12,2.949822596979506e-13,45099.77805016981,0.0,0.0
9,1,True,0.6846928657862342,0.2457847445107585,17726.261046306623,1.0,1.0
9,1,True,0.840319175660352,0.3678182756032832,44817.37088721933,1.0,1.0
9,1,False,3.2762614990703166e-07,1.736328046263217e-08,30842.917863012914,0.0,0.0
9,1,True,0.6602191887064712,0.7011508790375363,19654.67767867624,3.0,0.0
9,1,False,2.246827319031224e-17,5.340198504653037e-19,24178.929359031543,0.0,2.0
9,1,True,0.5780573265115991,0.19469910945961724,72754.38166452138,1.0,0.0
9,1,False,4.171277373922632e-09,1.734076450332534e-10,58866.652373234145,0.0,0.0
9,1,True,0.6876189335669527,0.2472409738560363,22226.481665336738,1.0,1.0
9,1,False,0.03781839204939071,0.006185256719207007,9859.729787116277,1.0,0.0
9,1,False,1.1289757753882363e-16,2.793156023811673e-18,36602.59819058158,0.0,0.0
9,1,True,0.6553020358152668,0.23131736926659388,42377.44979501049,1.0,0.0
9,1,True,0.5112537897965502,0.16471811531807737,28189.059748452084,1.0,1.0
9,1,True,0.6929221849453239,0.24988751063011355,34911.88007239681,1.0,1.0
9,1,False,1.8248671247162653e-09,7.505799623761878e-11,34229.0912150476,0.0,0.0
9,1,False,8.074484477761251e-07,4.507101424632803e-08,27928.690010446466,0.0,0.0
9,1,True,0.6715906987672622,0.47859886318041817,41637.00101640195,1.0,1.0
9,1,False,0.09721863386660508,0.019397846903447657,37981.076990556285,1.0,0.0
9,1,False,1.1731412913519306e-12,3.672609670932077e-14,24745.028785646646,0.0,3.0
9,1,False,3.0125597543128534e-25,4.974046122489688e-27,35858.671595983724,0.0,1.0
9,1,False,3.4720978082421836e-10,1.333332197943527e-11,46943.7224176785,0.0,0.0
9,1,False,6.979987150550247e-29,1.0106110571830484e-30,28964.794941627413,0.0,1.0
9,1,False,4.26661189617266e-06,2.5307218257855373e-07,36257.0127580653,0.0,0.0
9,1,False,3.902566019820381e-12,1.2714750957985518e-13,27332.7767639668,0.0,2.0
